tweets;1.kisi;2.kisi;3.kisi;total
avrupa insan haklarý mahkemesi aihm polisin ýrkçý uygulamasýna yönelik baðýmsýz etkili soruþturmayý reddederek aihm sözleþmesini cignedigine karar verdi;0;0;0;0
sosyalist tartiþma 0000 istanbul bugün 05000630 sýradanlaþtýrýlan ýrkçýlýk göçmenler dayanýþmanýn gücü;0;0;0;0
12 yorumlara bakýyorum türk çocuklarýna göre türküm demek günahtýr öðretenler baþkalarýnýn çocuklarýna baþka þeyler öðretmiþler þekilde olan çocuklarýmýz kandýranlar birlikte;0;0;0;0
sosyalist tartýþma 2022 baþladý istanbul programýnda neler var;1;0;0;0
okul müdürü göçmen öðrencinin ailesinden 50 evro çelenk parasý istedi;1;0;1;1
2 baský çýktý ulus inþa sürecinde öjenik siyaset irkçýlýk ertuðrul eryücel;0;0;0;0
soru aþaðýdaki dörtlüðe göre anadolu türk vataný mýdýr deðil midir ziya gökalp;0;0;0;0
müslüman olunacaðýný zannetme hastalýðýna tutulanlar arasýndaki farký anlamadan milliyetçiliði ayaklar altýna alarak arabýn ýrkçý emelle;0;0;0;0
sosyalist tartiþma 2022 istanbul 29 ekim cumartesi 15001630 sýradanlaþtýrýlan ýrkçýlýk göçmenler dayanýþmanýn gücü;0;0;0;0
abdde ýrkçý saldýrý george floydun ölümüne olan polislere iliþkin yeni geliþme;0;0;0;0
sýradanlaþtýrýlan ýrkçýlýk göçmenler dayanýþmanýn gücü;1;1;1;1
resûlullah sav þöyle buyurmuþtur propagandasý yaparak veye ýrkçýlýða destek vererek yoldan çýkmýþ bir topluluðun bayraðý altýnda öldürülürse onun ölümü cahiliye ehlini ölümü gibidir müslim imare 57;1;1;1;1
sosyalist tartiþma 2022 istanbul sýradanlaþtýrýlan ýrkçýlýk göçmenler dayanýþmanýn gücü;0;0;0;0
yaþadým sayýlýr fakat gördüm genel aðýn bize verdiði zararý iyi biliyorum buranýn içerisinde büyüdüm büyüyorum hasarlarý alma sebebim hassas kalbimin olmasý insanlarý incitmeyin sýra size gelir yaþadýklarýmdan birisi tý;1;1;1;1
irkçýlýk kavgasý havaalanýný birbirine kattý;1;1;1;1
havaalanýnda bir kadýnýn siyahi kadýnlarla alay ettiði iddiasý sonrasýnda çýkan kavgada alay ettiði iddia edilen kadýn eþi dayak yedi;0;0;0;0
51015 pkk oluyor kastediliyor;0;0;0;0
avrupa insan haklarý mahkemesinden almanyaya ýrkçýlýk kararý haberi okumak týklayýn;0;0;0;0
almanyaya uyari aihmalmanya polis teþkilatýndaki irkçýlýkla ilgili soruþturmadan kaçýyor;0;0;0;0
yapmak kullanýlan arap bandý tanýmýnýn deðiþmesinin zamaný geldi;0;0;0;0
aihmden almanyaya ýrkçýlýk kararý;0;0;0;0
baþkan olarak lanse edilen mehmet kuþ irkýçýlýk gezmelere doyamadý seçim yakýn;0;0;0;0
cadý avý acýmasýzca fiþleme ihlalleri bitmeli;0;0;0;0
tekirdað sosyalist tartýþma 22 ekim cumartesi 14001530 irkçýlýk göçmenler dayanýþma;0;0;1;0
bakan bilgin türk milletinin tarihinde ýrkçýlýk yoktur;0;0;0;0
bunlar bugün yayýnlansa yasaklanacak filmler1 aracýlýðýyla;0;0;0;0
kadýn voleybolunun büyük yýldýzlarýndan paola egonu ýrkçý yorumlar yüzünden italya milli takýmýný býrakacaðýný açýkladý hedef gösterilmekten yoruldum;0;0;0;0
dýþiþleri komisyonu baþkaný çaðatay kýlýç yaptýðý açýklamada dini kimliklere yönelik ayrýmcýlýðýn zirveye ulaþtýðýný söyledi;0;1;0;0
tam baðýmsýz türkiye cumhuriyeti olmayý baþarabiliriz deðil çalýþmamýz lazým uluslararasý iliþkilerde gerekir mi;0;0;0;0
borrelle tepki seli;0;0;0;0
tekirdað sosyalist tartýþma 22 ekim cumartesi;0;0;0;0
birleþik krallýktaki hapishanelerdeki ölümlerle ilgili yayýmlanan bir rapor ülkede özellikle siyahi farklý etnik kökene sahip mahkumlarýn cezaevlerinde ayrýmcýlýða maruz kaldýðýný ortaya koydu;0;0;0;0
kadir kerimoðlu yazdý amed spordan uzak durun;0;0;0;0
irkçýlýk karþýtý kentler alan kadýköyde buluþtu ayrýntýlar;0;0;;0
ýrkçýlýðý hükümeti var dediðimizde tam anlamýyla bunu kastediyoruz nefret ederim herhangi bir biçimde olur olsun araplardan sonra yabancý olan kimseden nefret ederim deðil mi ýrkçýlýk olup olmadýðý önemli deðil;0;0;0;0
müminler ancak kardeþtir bugün bilinci kardeþliðinin önündeki büyük engellerden;0;0;0;0
sosyalist iþçi gazetesi 709 sayý çýktý okumak indirmek týklayýn;1;0;1;1
haftaki makalesinde üzerine yazdý;0;0;0;0
irkçýlýk yoksa islam ey insanlar sizi bir erkekle bir kadýndan yarattýk sizi þubeler kabilelere ayýrdýk birbirinizi tanýyasýnýz þüphesiz allah katýnda þerefliniz takvaca ileride olanýnýzdýr hucurât 13;0;0;0;0
milletvekiline iþkenceyi yapan devletinoradaki insanlara neler yaptýðýný hayal edin gericilik devletin omurgasý oldu;0;0;0;0
maha öldü bir açýklama yapmýyorsunuz bir insan öldü;0;0;0;0
maha öldü ölümde ýrkçý idarenin toplumsal baskýnýn rolü nedir;1;0;0;0
avrupa parlamentosu bakýmý ödeneði skandalý skandalla ortaya çýkan sistemsel problemlerin hâlâ çözüme kavuþturulamamasý nedeniyle ab yönetimini kurumsal yapmakla eleþtirdi;0;0;0;0
kurumsal irkçilik avrupa parlamentosundan hollanda ab yönetimine kurumsal irkçýlýk eleþtirisi;0;0;0;0
parlamentosundan ye þok eleþtiri;0;0;0;0
neyin kini fransada aþýrý saðcý siyasetçi marine le pen fazla caminin kapatýlmasýný talep etti;0;0;0;0
cenaze töreninindebir afrikalýkraliçe kalýntýlarýný önce köle ticareti köleliksömürgecilikyeni ilgili suçlarýný tazmin etmesini istedi batý medyasýnýn hiçbiri göstermeye cesaret edemedi;1;0;0;0
sistematik irkçilik birleþmiþ milletler isviçrede sistematik irkçýlýk sorunu var;0;0;0;0
makalelerden oluþan kitapta halde dikkat çekeni kitaba adýný veren irk kavramýný icat etti olsa gerek filozoflarýn ýrk kavramýna yaklaþýmý insaný korkutan düzeyde ýrkçýlýða bulaþmýþ halleri ilk baskýsýný 2000de yapan kitabýn 2 baskýsý;0;0;0;0
birleþmiþ milletler insan haklarý uzmanlarý yayýmladýklarý bir raporla kökenli insanlara yönelik sistematik polis tarafýndan uygulanan ýrkçý fiþlemelere dikkat çekiyor;0;0;0;0
krizi zinciri ýsýnma sahanlýðý vs konularla insanlarý ülkeleri birbirine düþürüp ilk önce sonra düzen kurmaya çalýþacaklar;0;0;0;0
bmye göre isviçrede sistematik ýrkçýlýk sorunu var;0;0;0;0
bm isviçrede sistematik ýrkçýlýk sorunu var;1;1;1;1
istanbul st dördüncü toplantýsý 29 ekim cumartesi 1500 sýradanlaþtýrýlan ýrkçýlýk deniz güngören kinda el amoud zakira hekmat;0;0;0;0
sosyalist tartýþma 2022 istanbul programý;0;0;0;0
sosyalist tartýþma 2022 istanbul programý youtube kanalýmýzdan canlý yayýn;0;0;0;0
komutan 50 yenildi;0;0;0;0
derhal komutan istifa etmeli;0;0;0;0
portreler martin luther king jr can irmak özinanýr yazdý;0;0;0;0
baþkasýna nefret kimin ifade özgürlüðüdür;0;0;0;0
baþkasýna nefret kimin ifade özgürlüðüdür konuþmacý iþýl kurnaz hukukçu 29 eylül perþembe 1900 adres konur sokak 1413 kýzýlay ankara telefon 0535 8842122;0;0;1;0
sosyalist iþçi gazetesi 708 sayý çýktý;0;0;0;0
yeni yazým göçmenlere koldan saldýrý var son bir haftada göçmenlere yönelik saldýrýlarýn olmadýðý tek bir gün olmadý saldýrýlarýn dozu geçen gün artýyor;0;0;0;0
3yunanistan hakkinda rapor canli baðlanti avrupa konseyi irkçýlýk hoþgörüsüzlükle mücadele komisyonu rapor yayýmladý;0;0;0;0
bakanla ilgili ýrkçý yorumlar yapan milletvekili partisinden uzaklaþtýrýldý;0;0;0;0
hepimizin pek duyduðu ýrkçýlýk hakkýnda biliyorsunuz;0;0;0;0
baþkasýna nefret kimin ifade özgürlüðüdür konuþmacý iþýl kurnaz hukukçu;0;0;0;0
türk milleti soydaþlarýnýn arkasýndadýr roni margulies yazdý;0;0;0;0
2türkler baski altinda batý trakya türklerine yönelik ayrýmcýlýk anaokullarýnda baþlýyor;0;0;0;0
haber yapýlýrken ýrkçýlýk yapýlmamalý haber baþlýðý þöyle olmalýydý turistlerin kiraladýklarý arabada býraktýklarý çöpler tepki topladý;0;0;0;0
